successes,trials,mean,lower,upper,subjects,countries,beta,beta_variance,class
26,100,0.26,0.1773944379,0.3573120631,100,50,0.05,0.03,rq2
52,100,0.52,0.4177897654,0.6209945198,150,30,0.05,0.01,rq2
22,100,0.22,0.1433035767,0.3139196538,150,30,0.05,0.02,rq2
11,100,0.11,0.0562070203,0.1883011322,150,30,0.05,0.03,rq2
60,100,0.6,0.4972091504,0.6967052313,150,40,0.05,0.01,rq2
36,100,0.36,0.2664084227,0.4621218933,150,40,0.05,0.02,rq2
20,100,0.2,0.1266555521,0.2918426891,150,40,0.05,0.03,rq2
73,100,0.73,0.6319837271,0.8139335777,150,50,0.05,0.01,rq2
48,100,0.48,0.3790054802,0.5822102346,150,50,0.05,0.02,rq2
32,100,0.32,0.2302199168,0.4207668616,150,50,0.05,0.03,rq2
51,100,0.51,0.4080363292,0.6113558348,200,30,0.05,0.01,rq2
25,100,0.25,0.1687797381,0.3465524958,200,30,0.05,0.02,rq2
18,100,0.18,0.1103112292,0.269477086,200,30,0.05,0.03,rq2
64,100,0.64,0.5378781067,0.7335915773,200,40,0.05,0.01,rq2
30,100,0.3,0.2124064205,0.3998146762,200,40,0.05,0.02,rq2
21,100,0.21,0.1349436957,0.3029153794,200,40,0.05,0.03,rq2
73,100,0.73,0.6319837271,0.8139335777,200,50,0.05,0.01,rq2
52,100,0.52,0.4177897654,0.6209945198,200,50,0.05,0.02,rq2
36,100,0.36,0.2664084227,0.4621218933,200,50,0.05,0.03,rq2
50,100,0.5,0.3983211295,0.6016788705,250,30,0.05,0.01,rq2
30,100,0.3,0.2124064205,0.3998146762,250,30,0.05,0.02,rq2
16,100,0.16,0.09431029,0.2467875974,250,30,0.05,0.03,rq2
65,100,0.65,0.5481506382,0.7427062215,250,40,0.05,0.01,rq2
33,100,0.33,0.2391985346,0.4311727508,250,40,0.05,0.02,rq2
30,100,0.3,0.2124064205,0.3998146762,250,40,0.05,0.03,rq2
82,100,0.82,0.730522914,0.8896887708,250,50,0.05,0.01,rq2
47,100,0.47,0.3694051642,0.5724185151,250,50,0.05,0.02,rq2
36,100,0.36,0.2664084227,0.4621218933,250,50,0.05,0.03,rq2
