successes,trials,mean,lower,upper,n_ids,n_countries,beta_MGE,random_country,class
991,1000,0.991,0.9829842169,0.9958766043,200,40,0.05,0.9,rq3
999,1000,0.999,0.9944410757,0.9999746825,200,50,0.05,0.3,rq3
999,1000,0.999,0.9944410757,0.9999746825,200,50,0.05,0.9,rq3
1000,1000,1,0.9963179161,1,200,60,0.05,0.3,rq3
1000,1000,1,0.9963179161,1,200,60,0.05,0.9,rq3
975,1000,0.975,0.9633151769,0.9837574643,250,20,0.05,0.3,rq3
920,1000,0.92,0.901420221,0.9360580172,250,20,0.05,0.9,rq3
1000,1000,1,0.9963179161,1,250,30,0.05,0.3,rq3
990,1000,0.99,0.9816867569,0.9951944893,250,30,0.05,0.9,rq3
1000,1000,1,0.9963179161,1,250,40,0.05,0.3,rq3
999,1000,0.999,0.9944410757,0.9999746825,250,40,0.05,0.9,rq3
1000,1000,1,0.9963179161,1,250,50,0.05,0.3,rq3
1000,1000,1,0.9963179161,1,250,50,0.05,0.9,rq3
1000,1000,1,0.9963179161,1,250,60,0.05,0.3,rq3
1000,1000,1,0.9963179161,1,250,60,0.05,0.9,rq3
963,1000,0.963,0.9493588769,0.9738172912,100,20,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,150,20,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,200,20,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,250,20,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,100,30,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,150,30,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,200,30,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,250,30,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,100,40,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,150,40,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,200,40,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,250,40,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,100,50,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,150,50,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,200,50,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,250,50,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,100,60,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,150,60,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,200,60,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,250,60,0.1,1.5,rq3
1000,1000,1,0.9963179161,1,150,20,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,150,20,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,200,20,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,250,20,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,100,30,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,150,30,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,200,30,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,250,30,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,100,40,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,150,40,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,200,40,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,250,40,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,100,50,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,150,50,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,200,50,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,250,50,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,100,60,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,150,60,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,200,60,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,250,60,0.1,0.9,rq3
1000,1000,1,0.9963179161,1,150,20,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,150,20,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,200,20,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,250,20,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,100,30,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,150,30,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,200,30,0.1,0.3,rq3
1000,1000,1,0.9963179161,1,250,30,0.1,0.3,rq3
